E,I
428.98,194
429.83,167
430.69,174
431.55,179
432.40,169
433.25,182
434.11,163
434.96,182
435.82,166
436.68,185
437.53,175
438.38,157
439.24,184
440.10,156
440.95,182
441.81,168
442.66,206
443.51,171
444.37,161
445.23,181
446.08,197
446.94,130
447.79,171
448.64,168
449.50,185
450.36,176
451.21,177
452.06,179
452.92,173
453.77,170
454.63,183
455.49,167
456.34,168
457.19,180
458.05,158
458.91,185
459.76,166
460.62,167
461.47,176
462.32,173
463.18,136
464.04,158
464.89,166
465.75,142
466.60,135
467.45,156
468.31,168
469.17,178
470.02,147
470.88,138
471.73,142
472.58,159
473.44,135
474.30,142
475.15,159
476.00,164
476.86,164
477.71,139
478.57,134
479.43,161
480.28,132
481.13,144
481.99,131
482.85,128
483.70,129
484.56,138
485.41,153
486.26,136
487.12,130
487.98,129
488.83,127
489.69,145
490.54,150
491.39,132
492.25,114
493.11,129
493.96,101
494.81,144
495.67,126
496.52,119
497.38,159
498.24,140
499.09,126
499.94,122
500.80,121
501.66,121
502.51,128
503.36,116
504.22,123
505.07,118
505.93,130
506.79,112
507.64,127
508.49,124
509.35,126
510.20,109
511.06,117
511.92,116
512.77,114
513.62,108
514.48,115
515.33,120
516.19,128
517.04,118
517.90,125
518.75,110
519.61,104
520.46,122
521.32,116
522.17,94
523.03,97
523.88,104
524.74,100
525.59,114
526.45,98
527.30,97
528.16,131
529.01,127
529.87,93
530.72,138
531.58,103
532.43,114
533.29,106
534.14,89
535.00,105
535.85,85
536.71,102
537.56,93
538.42,100
539.27,107
540.13,91
540.98,87
541.84,97
542.69,116
543.55,95
544.40,96
545.26,110
546.11,111
546.97,113
547.82,77
548.68,101
549.53,92
550.39,101
551.24,96
552.10,97
552.95,77
553.81,83
554.66,87
555.52,74
556.37,107
557.23,97
558.08,90
558.94,84
559.79,91
560.65,80
561.50,111
562.36,101
563.21,94
564.07,92
564.92,86
565.78,91
566.63,110
567.49,87
568.34,87
569.20,80
570.05,105
570.91,97
571.76,119
572.62,100
573.47,100
574.33,104
575.18,110
576.04,92
576.89,82
577.75,118
578.60,121
579.46,108
580.31,118
581.17,113
582.02,108
582.88,113
583.73,120
584.59,98
585.44,102
586.30,102
587.15,125
588.01,99
588.86,108
589.72,120
590.57,98
591.43,138
592.28,113
593.14,111
593.99,127
594.85,129
595.70,112
596.56,125
597.41,114
598.27,117
599.12,102
599.98,119
600.83,116
601.69,139
602.54,122
603.40,123
604.25,140
605.11,121
605.96,131
606.82,131
607.67,125
608.53,132
609.38,138
610.24,121
611.09,118
611.95,154
612.80,159
613.66,113
614.51,167
615.37,135
616.22,133
617.08,139
617.93,116
618.79,135
619.64,145
620.50,143
621.35,165
622.21,165
623.06,155
623.92,167
624.77,186
625.63,173
626.48,172
627.34,170
628.19,191
629.05,189
629.90,199
630.76,230
631.61,187
632.47,223
633.32,215
634.18,226
635.03,267
635.89,258
636.74,261
637.60,291
638.45,272
639.31,280
640.16,293
641.02,323
641.87,320
642.73,380
643.58,361
644.44,380
645.29,370
646.15,376
647.00,382
647.86,460
648.71,474
649.57,463
650.42,483
651.28,497
652.13,514
652.99,500
653.84,498
654.70,579
655.55,542
656.41,592
657.26,577
658.12,619
658.97,663
659.83,635
660.68,673
661.54,698
662.39,683
663.25,667
664.10,645
664.96,697
665.81,718
666.67,688
667.52,686
668.38,726
669.23,725
670.09,729
670.94,685
671.80,671
672.65,680
673.51,715
674.36,682
675.22,672
676.07,680
676.93,652
677.78,673
678.64,658
679.49,625
680.35,628
681.20,627
682.06,573
682.91,610
683.77,567
684.62,561
685.48,547
686.33,487
687.19,513
688.04,467
688.90,445
689.75,463
690.61,433
691.46,455
692.32,402
693.17,405
694.03,374
694.88,346
695.74,303
696.59,318
697.45,285
698.30,292
699.16,273
700.01,268
700.87,266
701.72,235
702.58,232
703.43,221
704.29,182
705.14,188
706.00,190
706.85,149
707.71,124
708.56,146
709.42,137
710.27,144
711.13,122
711.98,137
712.84,104
713.69,83
714.55,94
715.40,102
716.26,81
717.11,69
717.97,93
718.82,79
719.68,63
720.53,73
721.39,65
722.24,67
723.10,61
723.95,53
724.81,52
725.66,57
726.52,59
727.37,56
728.23,60
729.08,52
729.94,41
730.79,45
731.65,41
732.50,43
733.36,42
734.21,47
735.07,42
735.92,43
736.78,43
737.63,44
738.49,36
739.34,52
740.20,38
741.05,40
741.91,45
742.76,37
743.62,46
744.47,41
745.33,35
746.18,46
747.04,45
747.89,36
748.75,34
749.60,36
750.46,50
751.31,33
752.17,35
753.02,29
753.88,32
754.73,44
755.59,46
756.44,32
757.30,33
758.15,39
759.01,34
759.86,33
760.72,36
761.57,34
762.43,30
763.28,25
764.14,36
764.99,33
765.85,33
766.70,32
767.56,38
768.41,38
769.27,36
770.12,42
770.98,44
771.83,25
772.69,30
773.54,30
774.40,38
775.25,33
776.11,44
776.96,37
777.82,28
778.67,42
779.53,35
780.38,33
781.24,26
782.09,37
782.95,35
783.80,31
784.66,33
785.51,39
786.37,44
787.22,27
788.08,30
788.93,30
789.79,29
790.64,40
791.50,45
792.35,44
793.21,38
794.06,45
794.92,31
795.77,34
796.63,31
797.48,31
798.34,39
799.19,20
800.05,19
800.90,27
801.76,25
802.61,33
803.47,33
804.32,30
805.18,34
806.03,25
806.89,29
807.74,35
808.60,27
809.45,31
810.31,29
811.16,27
812.02,34
812.87,40
813.73,41
814.58,33
815.44,27
816.29,22
817.15,22
818.00,39
818.86,32
819.71,29
820.57,28
821.42,28
822.28,17
823.13,28
823.99,30
824.84,25
825.70,31
826.55,22
827.41,36
828.26,25
829.12,29
829.97,27
830.83,24
831.68,30
832.54,35
833.39,32
834.25,22
835.10,20
835.96,29
836.81,27
837.67,35
838.52,26
839.38,33
840.23,40
841.09,22
841.94,29
842.80,24
843.65,27
844.51,20
845.36,26
846.22,27
847.07,20
847.93,25
848.78,31
849.64,0
850.49,0
851.35,0
852.20,0
853.06,0
853.91,0
854.77,0
855.62,0
856.48,0
857.33,0
858.19,0
859.04,0
859.90,0
860.75,0
861.61,0
862.46,0
