E,I
616.22,122
617.08,122
617.93,157
618.79,143
619.64,131
620.50,147
621.35,145
622.21,158
623.06,190
623.92,168
624.77,171
625.63,169
626.48,204
627.34,179
628.19,186
629.05,181
629.90,177
630.76,165
631.61,209
632.47,183
633.32,212
634.18,200
635.03,217
635.89,249
636.74,248
637.60,234
638.45,281
639.31,265
640.16,264
641.02,275
641.87,315
642.73,315
643.58,290
644.44,307
645.29,316
646.15,352
647.00,401
647.86,392
648.71,404
649.57,435
650.42,420
651.28,420
652.13,422
652.99,464
653.84,473
654.70,482
655.55,486
656.41,465
657.26,503
658.12,497
658.97,555
659.83,536
660.68,545
661.54,554
662.39,573
663.25,639
664.10,578
664.96,627
665.81,589
666.67,619
667.52,609
668.38,623
669.23,611
670.09,614
670.94,572
671.80,605
672.65,586
673.51,600
674.36,616
675.22,588
676.07,560
676.93,616
677.78,614
678.64,599
679.49,572
680.35,560
681.20,540
682.06,520
682.91,468
683.77,495
684.62,524
685.48,508
686.33,473
687.19,489
688.04,433
688.90,416
689.75,451
690.61,382
691.46,370
692.32,351
693.17,318
694.03,331
694.88,329
695.74,293
696.59,329
697.45,250
698.30,266
699.16,228
700.01,265
700.87,213
701.72,234
702.58,245
703.43,197
704.29,173
705.14,159
706.00,147
706.85,137
707.71,147
708.56,128
709.42,133
710.27,115
711.13,119
711.98,92
712.84,101
713.69,111
714.55,92
715.40,86
716.26,71
717.11,88
717.97,64
718.82,51
719.68,73
720.53,66
721.39,64
722.24,60
723.10,61
723.95,48
724.81,64
725.66,57
726.52,42
727.37,51
728.23,52
729.08,54
729.94,28
730.79,45
731.65,52
732.50,39
733.36,43
734.21,35
735.07,37
735.92,42
736.78,45
737.63,42
738.49,42
739.34,42
740.20,45
741.05,44
741.91,44
742.76,35
743.62,54
744.47,39
745.33,40
746.18,41
747.04,36
747.89,48
748.75,31
749.60,38
750.46,35
751.31,37
752.17,27
753.02,37
753.88,50
754.73,27
755.59,40
756.44,37
757.30,34
758.15,44
759.01,41
759.86,42
760.72,40
761.57,28
762.43,28
763.28,41
764.14,33
764.99,35
765.85,25
766.70,35
767.56,45
768.41,32
769.27,36
770.12,48
770.98,34
771.83,41
772.69,41
773.54,34
774.40,33
775.25,34
776.11,28
776.96,36
777.82,35
778.67,20
779.53,39
780.38,29
781.24,45
782.09,39
782.95,39
783.80,35
784.66,39
785.51,31
786.37,33
787.22,32
788.08,40
788.93,36
789.79,42
790.64,26
791.50,39
792.35,36
793.21,41
794.06,39
794.92,28
795.77,35
796.63,26
797.48,32
798.34,31
799.19,22
800.05,32
800.90,29
801.76,36
802.61,32
803.47,32
804.32,27
805.18,40
806.03,33
806.89,28
807.74,36
808.60,22
809.45,30
810.31,33
811.16,24
812.02,41
812.87,40
813.73,35
814.58,25
815.44,38
816.29,37
817.15,35
818.00,35
818.86,27
819.71,35
820.57,29
821.42,36
822.28,29
823.13,27
823.99,32
824.84,31
825.70,30
826.55,33
827.41,38
828.26,36
829.12,22
829.97,20
830.83,31
831.68,28
832.54,28
833.39,23
834.25,30
835.10,28
835.96,20
836.81,27
837.67,27
838.52,25
839.38,32
840.23,33
841.09,24
841.94,37
842.80,28
843.65,21
844.51,27
845.36,30
846.22,32
847.07,32
847.93,35
848.78,19
849.64,0
850.49,0
851.35,0
852.20,0
853.06,0
853.91,0
854.77,0
855.62,0
856.48,0
857.33,0
858.19,0
859.04,0
859.90,0
860.75,0
861.61,0
862.46,0
