E,I
-12.20,0
-11.34,0
-10.49,0
-9.63,0
-8.78,0
-7.92,0
-7.07,0
-6.21,0
-5.36,0
-4.50,0
-3.65,0
-2.79,3756
-1.94,574
-1.08,204
-0.23,184
0.62,206
1.48,160
2.34,205
3.19,198
4.05,205
4.90,178
5.75,180
6.61,181
7.46,172
8.32,187
9.18,186
10.03,169
10.89,204
11.74,187
12.59,196
13.45,208
14.30,221
15.16,207
16.02,236
16.87,201
17.73,222
18.58,237
19.43,245
20.29,258
21.14,253
22.00,247
22.86,254
23.71,253
24.57,294
25.42,299
26.28,331
27.13,332
27.99,371
28.84,389
29.69,459
30.55,488
31.40,547
32.26,532
33.11,555
33.97,571
34.83,529
35.68,477
36.53,452
37.39,445
38.25,430
39.10,380
39.95,384
40.81,378
41.67,392
42.52,392
43.38,396
44.23,385
45.08,378
45.94,402
46.80,467
47.65,428
48.50,498
49.36,507
50.22,516
51.07,551
51.92,582
52.78,586
53.63,577
54.49,626
55.34,660
56.20,631
57.05,686
57.91,708
58.77,709
59.62,819
60.47,817
61.33,766
62.19,848
63.04,868
63.89,947
64.75,967
65.60,964
66.46,994
67.31,987
68.17,1055
69.02,1041
69.88,1081
70.73,1089
71.59,1102
72.44,1121
73.30,1235
74.16,1121
75.01,1191
75.86,1170
76.72,1218
77.57,1183
78.43,1216
79.28,1334
80.14,1269
80.99,1319
81.85,1391
82.70,1275
83.56,1331
84.41,1339
85.27,1375
86.12,1362
86.98,1349
87.83,1307
88.69,1317
89.55,1343
90.40,1309
91.25,1256
92.11,1281
92.96,1274
93.82,1210
94.67,1306
95.53,1321
96.38,1285
97.24,1258
98.09,1342
98.95,1316
99.80,1230
100.66,1310
101.52,1246
102.37,1249
103.22,1175
104.08,1193
104.93,1210
105.79,1231
106.64,1229
107.50,1146
108.35,1164
109.21,1167
110.06,1204
110.92,1125
111.77,1241
112.63,1125
113.48,1089
114.34,1081
115.19,1157
116.05,1109
116.90,1080
117.76,1083
118.61,1092
119.47,1088
120.33,1153
121.18,1137
122.03,1126
122.89,1086
123.74,1102
124.60,1068
125.45,1066
126.31,1038
127.17,1031
128.02,1093
128.88,1033
129.73,1033
130.59,1093
131.44,1033
132.30,1083
133.15,1017
134.00,1020
134.86,1049
135.72,979
136.57,1005
137.43,992
138.28,952
139.14,965
139.99,1014
140.84,974
141.70,956
142.56,952
143.41,939
144.27,985
145.12,895
145.97,937
146.83,939
147.69,950
148.54,860
149.40,882
150.25,875
151.11,867
151.96,919
152.81,888
153.67,861
154.53,883
155.38,884
156.24,830
157.09,853
157.95,861
158.80,828
159.66,824
160.51,812
161.37,769
162.22,810
163.08,834
163.93,824
164.78,831
165.64,772
166.50,792
167.35,760
168.21,731
169.06,767
169.92,780
170.77,758
171.62,708
172.48,764
173.34,731
174.19,736
175.05,717
175.90,717
176.75,683
177.61,692
178.47,732
179.32,679
180.18,715
181.03,714
181.89,711
182.74,680
183.59,675
184.45,686
185.31,676
186.16,670
187.02,642
187.87,720
188.72,727
189.58,667
190.44,701
191.29,646
192.15,630
193.00,654
193.86,668
194.71,644
195.56,619
196.42,644
197.28,644
198.13,605
198.99,570
199.84,640
200.69,575
201.55,631
202.41,594
203.26,570
204.12,615
204.97,593
205.83,624
206.68,611
207.53,612
208.39,580
209.25,520
210.10,592
210.96,593
211.81,581
212.67,562
213.52,527
214.38,564
215.23,558
216.09,558
216.94,540
217.80,569
218.65,550
219.50,556
220.36,567
221.22,574
222.07,551
222.93,561
223.78,549
224.64,542
225.49,538
226.34,515
227.20,567
228.06,484
228.91,501
229.77,494
230.62,503
231.47,480
232.33,487
233.19,521
234.04,495
234.90,486
235.75,499
236.61,493
237.46,471
238.31,512
239.17,482
240.03,535
240.88,536
241.74,530
242.59,498
243.44,539
244.30,541
245.16,527
246.01,515
246.87,501
247.72,494
248.57,514
249.43,517
250.29,496
251.14,521
252.00,469
252.85,449
253.70,489
254.56,516
255.42,498
256.27,475
257.12,504
257.98,440
258.83,433
259.69,454
260.55,429
261.40,412
262.25,458
263.11,441
263.97,390
264.82,418
265.68,412
266.53,394
267.38,418
268.24,425
269.10,400
269.95,380
270.81,356
271.66,371
272.51,339
273.37,366
274.23,366
275.08,334
275.94,372
276.79,345
277.64,343
278.50,349
279.36,374
280.21,362
281.06,346
281.92,334
282.77,344
283.63,329
284.49,353
285.34,319
286.19,367
287.05,327
287.91,355
288.76,372
289.62,311
290.47,319
291.32,297
292.18,302
293.04,362
293.89,319
294.75,347
295.60,323
296.45,330
297.31,293
298.17,333
299.02,300
299.88,334
300.73,332
301.58,315
302.44,341
303.30,298
304.15,314
305.00,332
305.86,310
306.72,317
307.57,306
308.43,311
309.28,312
310.13,315
310.99,306
311.85,304
312.70,296
313.56,299
314.41,303
315.26,297
316.12,280
316.98,284
317.83,277
318.69,271
319.54,270
320.39,298
321.25,278
322.11,274
322.96,262
323.81,266
324.67,329
325.52,247
326.38,263
327.24,234
328.09,277
328.94,242
329.80,290
330.66,272
331.51,287
332.37,263
333.22,251
334.07,269
334.93,269
335.79,245
336.64,233
337.50,271
338.35,248
339.20,283
340.06,242
340.92,266
341.77,292
342.62,219
343.48,274
344.33,253
345.19,286
346.05,266
346.90,272
347.75,282
348.61,260
349.47,257
350.32,270
351.18,268
352.03,255
352.88,237
353.74,279
354.60,279
355.45,254
356.31,266
357.16,244
358.01,270
358.87,256
359.73,272
360.58,264
361.44,251
362.29,248
363.14,252
364.00,254
364.86,253
365.71,249
366.56,263
367.42,261
368.27,243
369.13,247
369.99,270
370.84,242
371.69,255
372.55,280
373.41,221
374.26,245
375.12,229
375.97,237
376.82,219
377.68,219
378.54,204
379.39,237
380.25,214
381.10,240
381.95,235
382.81,217
383.67,188
384.52,203
385.38,203
386.23,187
387.08,193
387.94,196
388.80,223
389.65,227
390.50,159
391.36,182
392.21,195
393.07,187
393.93,199
394.78,193
395.63,205
396.49,183
397.35,180
398.20,209
399.06,165
399.91,182
400.76,179
401.62,160
402.48,171
403.33,168
404.19,177
405.04,192
405.89,166
406.75,190
407.61,191
408.46,215
409.31,206
410.17,172
411.02,191
411.88,193
412.74,162
413.59,171
414.44,138
415.30,174
416.16,159
417.01,149
417.87,192
418.72,179
419.57,165
420.43,182
421.29,171
422.14,172
423.00,162
423.85,185
424.70,202
425.56,181
426.42,178
427.27,177
428.12,183
428.98,168
429.83,178
430.69,167
431.55,171
432.40,167
433.25,185
434.11,171
434.96,160
435.82,169
436.68,140
437.53,186
438.38,193
439.24,186
440.10,162
440.95,173
441.81,151
442.66,194
443.51,154
444.37,160
445.23,165
446.08,181
446.94,162
447.79,170
448.64,165
449.50,156
450.36,171
451.21,158
452.06,141
452.92,167
453.77,158
454.63,152
455.49,147
456.34,164
457.19,150
458.05,174
458.91,162
459.76,151
460.62,156
461.47,148
462.32,137
463.18,143
464.04,156
464.89,145
465.75,171
466.60,156
467.45,160
468.31,140
469.17,139
470.02,137
470.88,147
471.73,141
472.58,154
473.44,142
474.30,153
475.15,135
476.00,138
476.86,124
477.71,152
478.57,146
479.43,142
480.28,124
481.13,134
481.99,133
482.85,131
483.70,137
484.56,123
485.41,124
486.26,131
487.12,114
487.98,121
488.83,133
489.69,123
490.54,119
491.39,126
492.25,121
493.11,126
493.96,119
494.81,123
495.67,121
496.52,122
497.38,138
498.24,106
499.09,116
499.94,129
500.80,110
501.66,120
502.51,112
503.36,123
504.22,115
505.07,136
505.93,122
506.79,96
507.64,128
508.49,119
509.35,111
510.20,122
511.06,117
511.92,110
512.77,116
513.62,98
514.48,93
515.33,130
516.19,117
517.04,109
517.90,109
518.75,118
519.61,95
520.46,117
521.32,104
522.17,122
523.03,125
523.88,104
524.74,95
525.59,106
526.45,107
527.30,98
528.16,117
529.01,120
529.87,101
530.72,114
531.58,105
532.43,118
533.29,102
534.14,112
535.00,107
535.85,93
536.71,105
537.56,108
538.42,100
539.27,104
540.13,89
540.98,112
541.84,108
542.69,104
543.55,88
544.40,113
545.26,103
546.11,86
546.97,97
547.82,83
548.68,111
549.53,100
550.39,97
551.24,93
552.10,99
552.95,92
553.81,81
554.66,88
555.52,76
556.37,90
557.23,88
558.08,90
558.94,96
559.79,107
560.65,93
561.50,98
562.36,109
563.21,109
564.07,98
564.92,106
565.78,116
566.63,102
567.49,106
568.34,92
569.20,97
570.05,104
570.91,88
571.76,89
572.62,92
573.47,95
574.33,98
575.18,125
576.04,101
576.89,110
577.75,93
578.60,96
579.46,115
580.31,104
581.17,113
582.02,112
582.88,115
583.73,119
584.59,120
585.44,131
586.30,112
587.15,117
588.01,118
588.86,121
589.72,121
590.57,120
591.43,124
592.28,108
593.14,137
593.99,113
594.85,97
595.70,135
596.56,117
597.41,116
598.27,126
599.12,127
599.98,130
600.83,135
601.69,133
602.54,106
603.40,128
604.25,87
605.11,119
605.96,130
606.82,141
607.67,141
608.53,108
609.38,145
610.24,143
611.09,131
611.95,132
612.80,126
613.66,146
614.51,141
615.37,140
