E,I
428.98,190
429.83,183
430.69,183
431.55,192
432.40,189
433.25,192
434.11,200
434.96,185
435.82,199
436.68,170
437.53,189
438.38,192
439.24,190
440.10,213
440.95,188
441.81,175
442.66,188
443.51,172
444.37,178
445.23,171
446.08,178
446.94,190
447.79,216
448.64,161
449.50,197
450.36,181
451.21,189
452.06,189
452.92,154
453.77,158
454.63,179
455.49,187
456.34,188
457.19,185
458.05,172
458.91,179
459.76,177
460.62,161
461.47,168
462.32,167
463.18,179
464.04,173
464.89,157
465.75,160
466.60,140
467.45,159
468.31,153
469.17,170
470.02,165
470.88,159
471.73,167
472.58,147
473.44,142
474.30,145
475.15,149
476.00,139
476.86,145
477.71,164
478.57,136
479.43,146
480.28,152
481.13,136
481.99,131
482.85,134
483.70,133
484.56,123
485.41,118
486.26,125
487.12,137
487.98,118
488.83,123
489.69,137
490.54,130
491.39,121
492.25,137
493.11,136
493.96,129
494.81,150
495.67,120
496.52,132
497.38,124
498.24,126
499.09,116
499.94,124
500.80,111
501.66,117
502.51,116
503.36,110
504.22,111
505.07,110
505.93,122
506.79,131
507.64,147
508.49,127
509.35,116
510.20,136
511.06,140
511.92,113
512.77,115
513.62,101
514.48,104
515.33,116
516.19,118
517.04,106
517.90,132
518.75,106
519.61,121
520.46,111
521.32,100
522.17,125
523.03,104
523.88,109
524.74,112
525.59,121
526.45,125
527.30,116
528.16,113
529.01,98
529.87,103
530.72,98
531.58,110
532.43,98
533.29,115
534.14,120
535.00,107
535.85,102
536.71,98
537.56,103
538.42,99
539.27,97
540.13,103
540.98,92
541.84,123
542.69,115
543.55,82
544.40,99
545.26,95
546.11,113
546.97,89
547.82,92
548.68,94
549.53,91
550.39,84
551.24,92
552.10,82
552.95,99
553.81,107
554.66,96
555.52,83
556.37,117
557.23,108
558.08,92
558.94,96
559.79,108
560.65,89
561.50,85
562.36,101
563.21,97
564.07,87
564.92,87
565.78,113
566.63,99
567.49,102
568.34,103
569.20,91
570.05,112
570.91,118
571.76,100
572.62,99
573.47,114
574.33,106
575.18,110
576.04,125
576.89,114
577.75,95
578.60,101
579.46,128
580.31,114
581.17,104
582.02,96
582.88,98
583.73,104
584.59,100
585.44,84
586.30,122
587.15,109
588.01,125
588.86,119
589.72,126
590.57,122
591.43,115
592.28,136
593.14,117
593.99,134
594.85,120
595.70,111
596.56,128
597.41,137
598.27,131
599.12,141
599.98,139
600.83,145
601.69,114
602.54,99
603.40,139
604.25,122
605.11,119
605.96,146
606.82,156
607.67,150
608.53,137
609.38,122
610.24,139
611.09,156
611.95,157
612.80,142
613.66,161
614.51,136
615.37,143
616.22,183
617.08,172
617.93,152
618.79,177
619.64,188
620.50,190
621.35,190
622.21,196
623.06,201
623.92,216
624.77,223
625.63,238
626.48,213
627.34,251
628.19,253
629.05,219
629.90,264
630.76,296
631.61,284
632.47,263
633.32,297
634.18,329
635.03,349
635.89,366
636.74,364
637.60,348
638.45,420
639.31,430
640.16,436
641.02,432
641.87,460
642.73,461
643.58,486
644.44,503
645.29,543
646.15,563
647.00,607
647.86,608
648.71,596
649.57,623
650.42,651
651.28,649
652.13,659
652.99,686
653.84,746
654.70,711
655.55,696
656.41,777
657.26,728
658.12,764
658.97,762
659.83,741
660.68,838
661.54,803
662.39,784
663.25,862
664.10,815
664.96,797
665.81,788
666.67,806
667.52,783
668.38,803
669.23,835
670.09,802
670.94,737
671.80,815
672.65,774
673.51,714
674.36,730
675.22,719
676.07,727
676.93,675
677.78,662
678.64,683
679.49,592
680.35,579
681.20,625
682.06,609
682.91,562
683.77,502
684.62,523
685.48,468
686.33,463
687.19,457
688.04,473
688.90,388
689.75,391
690.61,370
691.46,346
692.32,327
693.17,342
694.03,305
694.88,291
695.74,259
696.59,273
697.45,229
698.30,233
699.16,230
700.01,209
700.87,166
701.72,200
702.58,159
703.43,149
704.29,166
705.14,145
706.00,132
706.85,120
707.71,130
708.56,115
709.42,102
710.27,105
711.13,92
711.98,110
712.84,73
713.69,85
714.55,72
715.40,63
716.26,72
717.11,53
717.97,76
718.82,64
719.68,49
720.53,65
721.39,50
722.24,61
723.10,43
723.95,51
724.81,59
725.66,59
726.52,34
727.37,37
728.23,40
729.08,50
729.94,43
730.79,41
731.65,38
732.50,48
733.36,46
734.21,47
735.07,43
735.92,43
736.78,46
737.63,42
738.49,49
739.34,32
740.20,39
741.05,39
741.91,27
742.76,35
743.62,43
744.47,49
745.33,31
746.18,31
747.04,43
747.89,38
748.75,40
749.60,35
750.46,38
751.31,29
752.17,38
753.02,47
753.88,36
754.73,34
755.59,38
756.44,30
757.30,41
758.15,37
759.01,34
759.86,43
760.72,40
761.57,41
762.43,33
763.28,40
764.14,35
764.99,42
765.85,37
766.70,36
767.56,35
768.41,38
769.27,47
770.12,37
770.98,30
771.83,40
772.69,24
773.54,40
774.40,26
775.25,34
776.11,21
776.96,36
777.82,39
778.67,29
779.53,33
780.38,41
781.24,33
782.09,46
782.95,35
783.80,33
784.66,38
785.51,41
786.37,30
787.22,40
788.08,47
788.93,47
789.79,30
790.64,29
791.50,32
792.35,33
793.21,40
794.06,34
794.92,40
795.77,35
796.63,32
797.48,38
798.34,28
799.19,26
800.05,31
800.90,29
801.76,36
802.61,22
803.47,39
804.32,24
805.18,21
806.03,26
806.89,35
807.74,33
808.60,30
809.45,27
810.31,21
811.16,37
812.02,29
812.87,29
813.73,36
814.58,37
815.44,36
816.29,31
817.15,25
818.00,28
818.86,30
819.71,31
820.57,29
821.42,23
822.28,30
823.13,22
823.99,34
824.84,31
825.70,25
826.55,33
827.41,28
828.26,26
829.12,37
829.97,22
830.83,26
831.68,33
832.54,29
833.39,23
834.25,32
835.10,36
835.96,33
836.81,28
837.67,31
838.52,24
839.38,33
840.23,34
841.09,34
841.94,33
842.80,27
843.65,30
844.51,19
845.36,31
846.22,32
847.07,30
847.93,38
848.78,29
849.64,0
850.49,0
851.35,0
852.20,0
853.06,0
853.91,0
854.77,0
855.62,0
856.48,0
857.33,0
858.19,0
859.04,0
859.90,0
860.75,0
861.61,0
862.46,0
