E,I
428.98,164
429.83,150
430.69,178
431.55,156
432.40,148
433.25,154
434.11,155
434.96,136
435.82,141
436.68,144
437.53,146
438.38,172
439.24,134
440.10,152
440.95,152
441.81,152
442.66,150
443.51,153
444.37,147
445.23,173
446.08,161
446.94,172
447.79,170
448.64,166
449.50,163
450.36,145
451.21,162
452.06,126
452.92,152
453.77,151
454.63,133
455.49,142
456.34,159
457.19,138
458.05,155
458.91,132
459.76,141
460.62,128
461.47,150
462.32,173
463.18,151
464.04,140
464.89,145
465.75,122
466.60,144
467.45,144
468.31,143
469.17,137
470.02,137
470.88,150
471.73,125
472.58,131
473.44,122
474.30,132
475.15,130
476.00,125
476.86,139
477.71,141
478.57,134
479.43,114
480.28,118
481.13,144
481.99,127
482.85,135
483.70,138
484.56,130
485.41,110
486.26,125
487.12,114
487.98,115
488.83,123
489.69,109
490.54,129
491.39,100
492.25,124
493.11,141
493.96,95
494.81,109
495.67,112
496.52,94
497.38,130
498.24,117
499.09,104
499.94,119
500.80,124
501.66,115
502.51,139
503.36,118
504.22,128
505.07,108
505.93,116
506.79,116
507.64,128
508.49,88
509.35,119
510.20,102
511.06,121
511.92,99
512.77,100
513.62,109
514.48,99
515.33,91
516.19,105
517.04,120
517.90,91
518.75,116
519.61,120
520.46,117
521.32,123
522.17,119
523.03,107
523.88,116
524.74,101
525.59,99
526.45,119
527.30,111
528.16,109
529.01,116
529.87,97
530.72,110
531.58,97
532.43,83
533.29,85
534.14,113
535.00,90
535.85,115
536.71,102
537.56,95
538.42,114
539.27,109
540.13,99
540.98,95
541.84,91
542.69,83
543.55,95
544.40,100
545.26,87
546.11,98
546.97,101
547.82,96
548.68,89
549.53,95
550.39,106
551.24,85
552.10,92
552.95,96
553.81,109
554.66,89
555.52,82
556.37,104
557.23,84
558.08,90
558.94,82
559.79,80
560.65,91
561.50,87
562.36,92
563.21,88
564.07,97
564.92,85
565.78,84
566.63,87
567.49,106
568.34,102
569.20,86
570.05,100
570.91,110
571.76,113
572.62,103
573.47,90
574.33,104
575.18,112
576.04,117
576.89,94
577.75,125
578.60,120
579.46,112
580.31,128
581.17,95
582.02,106
582.88,114
583.73,102
584.59,108
585.44,105
586.30,112
587.15,102
588.01,106
588.86,124
589.72,124
590.57,92
591.43,119
592.28,110
593.14,129
593.99,125
594.85,113
595.70,126
596.56,113
597.41,137
598.27,136
599.12,109
599.98,126
600.83,137
601.69,105
602.54,114
603.40,108
604.25,130
605.11,130
605.96,115
606.82,136
607.67,147
608.53,121
609.38,117
610.24,123
611.09,145
611.95,138
612.80,146
613.66,123
614.51,142
615.37,141
616.22,131
617.08,143
617.93,143
618.79,140
619.64,134
620.50,133
621.35,142
622.21,150
623.06,159
623.92,145
624.77,149
625.63,148
626.48,161
627.34,156
628.19,179
629.05,150
629.90,177
630.76,166
631.61,161
632.47,186
633.32,194
634.18,176
635.03,206
635.89,221
636.74,215
637.60,239
638.45,231
639.31,239
640.16,218
641.02,240
641.87,277
642.73,245
643.58,264
644.44,304
645.29,282
646.15,303
647.00,316
647.86,311
648.71,328
649.57,343
650.42,348
651.28,342
652.13,367
652.99,391
653.84,403
654.70,373
655.55,391
656.41,442
657.26,451
658.12,446
658.97,422
659.83,478
660.68,435
661.54,469
662.39,494
663.25,528
664.10,565
664.96,514
665.81,490
666.67,542
667.52,499
668.38,512
669.23,508
670.09,509
670.94,564
671.80,514
672.65,556
673.51,508
674.36,528
675.22,545
676.07,508
676.93,502
677.78,492
678.64,482
679.49,511
680.35,481
681.20,485
682.06,461
682.91,436
683.77,455
684.62,430
685.48,431
686.33,404
687.19,401
688.04,389
688.90,401
689.75,371
690.61,335
691.46,347
692.32,287
693.17,314
694.03,332
694.88,304
695.74,255
696.59,264
697.45,223
698.30,222
699.16,218
700.01,233
700.87,214
701.72,194
702.58,177
703.43,158
704.29,195
705.14,167
706.00,165
706.85,149
707.71,141
708.56,134
709.42,108
710.27,113
711.13,110
711.98,106
712.84,96
713.69,93
714.55,83
715.40,102
716.26,73
717.11,87
717.97,68
718.82,78
719.68,59
720.53,71
721.39,62
722.24,75
723.10,74
723.95,57
724.81,72
725.66,51
726.52,43
727.37,58
728.23,48
729.08,48
729.94,38
730.79,58
731.65,30
732.50,49
733.36,38
734.21,49
735.07,45
735.92,44
736.78,37
737.63,41
738.49,32
739.34,41
740.20,49
741.05,45
741.91,44
742.76,31
743.62,45
744.47,35
745.33,43
746.18,41
747.04,31
747.89,37
748.75,30
749.60,37
750.46,35
751.31,27
752.17,27
753.02,41
753.88,40
754.73,35
755.59,38
756.44,53
757.30,39
758.15,41
759.01,43
759.86,26
760.72,41
761.57,32
762.43,30
763.28,48
764.14,42
764.99,42
765.85,40
766.70,25
767.56,32
768.41,37
769.27,40
770.12,35
770.98,44
771.83,38
772.69,38
